,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 16:53,10.76923,0.7692337,0,0.78125,3.079927,48,45,47,47,55,1201.37109,1101.25684,1201.37109,1101.25684,5.6948843,1.10264575,1.22079718,0,8.01832723,100.114258,50.87725,7.987133,7.71169662,42,27.40348
05-03-2024 16:53,11.5384579,1.53846145,0,1.53846145,3.65384817,47,45,47,48,54,1101.25671,1101.25671,1201.371,1201.371,5.829214,1.07560658,1.22722518,0,8.13204576,100.11425,50.8552361,7.983677,7.71515274,42,27.40348
05-03-2024 16:53,8.4615345,0,0,1.5625,2.50600576,49,47,48,49,54,1201.37158,1201.37158,1201.37158,1201.37158,5.62165165,1.08502614,1.22189093,0,7.92856872,100.114296,50.8488922,7.98268127,7.71614838,42,27.40348
05-03-2024 16:53,8.4615345,0,0,1.53846145,2.49999762,48,48,48,49,56,1201.37048,1101.25635,1101.25635,1201.37048,5.74341154,1.10035741,1.25324523,0,8.09701418,100.114212,50.850132,7.982876,7.715954,43,27.403511
05-03-2024 16:54,8.4615345,0.7692337,0,0.7692337,2.49999762,49,46,48,49,57,1201.37048,1101.25623,1101.25623,1201.37048,5.78195333,1.128463,1.2520889,0,8.16250523,100.114204,50.8485031,7.98262024,7.71620941,43,27.403511
05-03-2024 16:54,7.69230747,0.7692337,0,0.7692337,2.30769515,48,48,49,51,57,1201.37085,1201.37085,1101.25659,1201.37085,5.69741249,1.05275273,1.24788272,0,7.99804794,100.114235,50.8234253,7.97868347,7.720146,43,27.403511
05-03-2024 16:54,11.5384579,1.53846145,0,0.7692337,3.46153975,50,48,50,51,57,1201.37073,1201.37073,1201.37073,1201.37073,5.751801,1.11170983,1.25872827,0,8.1222391,100.114227,50.808754,7.97637939,7.72245026,43,27.4035187
05-03-2024 16:54,8.59375,0,0,0.7692337,2.340746,49,48,49,51,56,1101.256,1201.37012,1201.37012,1101.256,5.8571496,1.08952832,1.267377,0,8.21405492,100.114174,50.80236,7.975376,7.72345352,43,27.4035187
05-03-2024 16:54,6.92307949,3.076923,0,1.51515007,2.87878513,51,49,49,51,57,1201.36975,1201.36975,1201.36975,1201.36975,5.882202,1.20284116,1.26660669,0,8.35164985,100.114151,50.79993,7.97499466,7.723835,43,27.4035187
05-03-2024 16:54,11.4801884,1.53846145,0,0.746268034,3.44123244,50,48,50,52,57,1201.37048,1201.37048,1201.37048,1201.37048,5.808751,1.15621018,1.26451778,0,8.22947896,100.114204,50.79959,7.97494125,7.7238884,44,27.4035416
