,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:31,0.78125,0,7.78846169,0,2.14242935,51,50,51,52,58,1501.71423,1501.71423,1301.4856,1101.25708,5.886962,1.41388357,1.13465989,0,8.43550546,100.114281,54.60524,8.572384,7.126446,47,27.4194641,
05-03-2024 01:31,0,0,6.107223,0.7692337,1.71911716,51,50,51,52,58,1101.25647,1201.37061,1501.71338,1802.056,5.99988174,1.43292952,1.10882592,0,8.54163718,100.11422,54.5863838,8.569424,7.129406,47,27.41938,
05-03-2024 01:31,0.7692337,0,1.53846145,0,0.5769253,52,50,52,52,58,1301.48462,1701.94141,1701.94141,1301.48462,6.18620634,1.52718139,1.12562263,0,8.83901036,100.114204,54.58381,8.569019,7.12981033,47,27.41938,
05-03-2024 01:31,0,0,4.6875,0,1.171875,52,50,51,52,59,1601.82788,1501.71362,1601.82788,1802.0564,6.02112246,1.44835114,1.107166,0,8.5766396,100.114243,54.58901,8.569836,7.128994,47,27.41938,
05-03-2024 01:31,2.34375,2.34375,9.375,0.78125,3.7109375,60,55,59,58,60,4104.686,4104.686,2703.08569,4104.686,8.837119,3.74825644,1.26315224,0,13.84852768,100.114288,54.4571381,8.549133,7.14969635,48,27.419426,
05-03-2024 01:32,1.53846145,5.97015,2.26176977,0,2.44259834,55,52,55,55,61,1501.71313,1501.71313,1601.82739,1401.59888,10.2068491,4.92455864,1.34052742,0,16.47193516,100.114212,56.72421,8.905037,6.79379272,48,27.419426,
05-03-2024 01:32,0,0,3.90625,0,0.9765625,53,51,53,54,59,2002.28589,1601.82874,1902.17151,1902.17151,6.14092731,1.48694265,1.181974,0,8.80984396,100.114296,56.1601257,8.816483,6.882347,48,27.419426,
05-03-2024 01:32,0.78125,0.7692337,5.384612,0,1.733774,53,53,54,53,59,1301.4856,4104.68555,1902.17126,1601.82849,6.37048435,1.6673305,1.20705974,0,9.24487459,100.114281,55.77785,8.75647,6.94236,49,27.41954,
05-03-2024 01:32,0.78125,0,5.46875,0.78125,1.7578125,51,50,52,53,59,1802.05676,2102.39941,1501.714,1501.714,6.288956,1.50997114,1.15878654,0,8.95771368,100.114265,54.9485168,8.626274,7.07255554,49,27.41954,
05-03-2024 01:32,0,0,6.818181,0,1.70454383,52,50,53,53,59,1701.9425,1902.171,1301.48547,1101.257,5.96592045,1.50952351,1.11959326,0,8.59503722,100.114265,54.7980042,8.602646,7.096184,49,27.41954,
05-03-2024 01:32,0,0,6.92307949,0,1.73076987,53,50,51,52,59,1701.94165,1802.05591,1501.71326,1101.25635,6.131178,1.50493371,1.15344536,0,8.78955707,100.114212,54.7734871,8.598797,7.100033,49,27.41957,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.480487636,1.821721811,1.156465506,0,9.458674953,,,,,,,
05-03-2024 01:36,9.437,0,0,0.7692337,2.55155563,46,42,44,44,52,1101.25708,2002.28552,2002.28552,1101.25708,2.82568622,0.875769,0.0397246,0,3.74117982,100.114273,47.893158,7.51866531,8.180164,46,27.4199677,
05-03-2024 01:36,23.84615,19.9999981,1.5625,0,11.3521633,49,45,47,49,54,1201.37146,1201.37146,1201.37146,1301.48584,7.05873871,2.15361238,1.24273944,0,10.45509053,100.114296,53.67723,8.426697,7.272133,46,27.4199677,
05-03-2024 01:36,13.0769253,0,1.53846145,0,3.65384817,48,46,48,49,55,1101.2572,1101.2572,1101.2572,1101.2572,5.742415,1.20623291,1.182331,0,8.13097891,100.114296,53.7006035,8.43036652,7.268463,46,27.4200134,
05-03-2024 01:36,13.8461533,0,0,0,3.46153975,48,47,48,49,55,1101.25647,1101.25647,1101.25647,1101.25647,5.72316742,1.2232213,1.15908885,0,8.10547757,100.11422,53.6855164,8.427998,7.270832,46,27.4200134,
05-03-2024 01:37,16.9230766,0,0,0,4.23076725,49,48,49,50,57,1101.25671,1101.25671,1101.25671,1101.25671,5.7910037,1.23426878,1.14553475,0,8.17080723,100.11425,53.70092,8.430416,7.26841354,46,27.4200134,
05-03-2024 01:37,13.28125,0,0,0,3.3203125,49,48,48,49,56,1101.257,1101.257,1101.257,1101.257,6.055836,1.2777189,1.15626669,0,8.48982159,100.114273,53.6668777,8.425072,7.273758,47,27.4199219,
05-03-2024 01:37,19.23077,0.7692337,0,0,5.000001,50,47,49,49,57,1101.25732,1101.25732,1101.25732,1101.25732,5.855723,1.20559,1.16904593,0,8.23035893,100.1143,53.65077,8.422543,7.276287,47,27.4199219,
05-03-2024 01:37,14.6153812,0,0,0,3.65384817,50,48,49,51,56,1101.2561,1101.2561,1101.2561,1101.2561,5.94055939,1.25280547,1.19021046,0,8.38357532,100.114189,53.6620674,8.424316,7.27451324,47,27.4199219,
05-03-2024 01:37,18.4615364,0.7692337,0,0,4.80769253,49,48,48,50,57,1101.25732,1101.25732,1101.25732,1101.25732,5.809759,1.25699675,1.18025422,0,8.24700997,100.1143,53.66119,8.424179,7.27465057,47,27.4199753,
05-03-2024 01:38,16.9230766,1.5625,0,0,4.62139225,49,48,49,49,56,1101.25562,1101.25562,1201.36987,1201.36987,5.988863,1.3013345,1.17696738,0,8.46716488,100.114151,53.6520538,8.422745,7.276085,47,27.4199753,
